Date,INSTRUMENT,PRICE
4/15/24,SOLARNTR:IND,40.6
4/12/24,SOLARNTR:IND,41.95
4/11/24,SOLARNTR:IND,43.75
4/10/24,SOLARNTR:IND,43.8
4/9/24,SOLARNTR:IND,45.67
4/8/24,SOLARNTR:IND,43.74
4/5/24,SOLARNTR:IND,43.13
4/4/24,SOLARNTR:IND,43.72
4/3/24,SOLARNTR:IND,43.88
4/2/24,SOLARNTR:IND,43.39
4/1/24,SOLARNTR:IND,45.07
3/29/24,SOLARNTR:IND,45.14
3/28/24,SOLARNTR:IND,45.37
3/27/24,SOLARNTR:IND,45.39
3/26/24,SOLARNTR:IND,43.02
3/25/24,SOLARNTR:IND,43.45
3/22/24,SOLARNTR:IND,44.03
3/21/24,SOLARNTR:IND,44.39
3/20/24,SOLARNTR:IND,44.09
3/19/24,SOLARNTR:IND,43.05
3/18/24,SOLARNTR:IND,42.8
3/15/24,SOLARNTR:IND,42.55
3/14/24,SOLARNTR:IND,42.69
3/13/24,SOLARNTR:IND,43.87
3/12/24,SOLARNTR:IND,44.62
3/11/24,SOLARNTR:IND,46.38
3/8/24,SOLARNTR:IND,45.77
3/7/24,SOLARNTR:IND,44.97
3/6/24,SOLARNTR:IND,43.94
3/5/24,SOLARNTR:IND,43
3/4/24,SOLARNTR:IND,43.39
3/1/24,SOLARNTR:IND,44.18
2/29/24,SOLARNTR:IND,43.15
2/28/24,SOLARNTR:IND,42.01
2/27/24,SOLARNTR:IND,42.56
2/26/24,SOLARNTR:IND,41.98
2/23/24,SOLARNTR:IND,41.99
2/22/24,SOLARNTR:IND,42.65
2/21/24,SOLARNTR:IND,44.76
2/20/24,SOLARNTR:IND,45.81
2/16/24,SOLARNTR:IND,46.86
2/15/24,SOLARNTR:IND,47.4
2/14/24,SOLARNTR:IND,46.63
2/13/24,SOLARNTR:IND,44.49
2/12/24,SOLARNTR:IND,47.3
2/9/24,SOLARNTR:IND,45.49
2/8/24,SOLARNTR:IND,44.1
2/7/24,SOLARNTR:IND,44.16
2/6/24,SOLARNTR:IND,42.28
2/5/24,SOLARNTR:IND,41.1
2/2/24,SOLARNTR:IND,42.28
2/1/24,SOLARNTR:IND,43.42
1/31/24,SOLARNTR:IND,42.37
1/30/24,SOLARNTR:IND,43.22
1/29/24,SOLARNTR:IND,44.05
1/26/24,SOLARNTR:IND,43.19
1/25/24,SOLARNTR:IND,43.88
1/24/24,SOLARNTR:IND,44.03
1/23/24,SOLARNTR:IND,44.89
1/22/24,SOLARNTR:IND,43.56
1/19/24,SOLARNTR:IND,42.9
1/18/24,SOLARNTR:IND,43.27
1/17/24,SOLARNTR:IND,42.89
1/16/24,SOLARNTR:IND,44.27
1/12/24,SOLARNTR:IND,46.45
1/11/24,SOLARNTR:IND,47.01
1/10/24,SOLARNTR:IND,48.26
1/9/24,SOLARNTR:IND,47.91
1/8/24,SOLARNTR:IND,48.29
1/5/24,SOLARNTR:IND,48.29
1/4/24,SOLARNTR:IND,48.77
1/3/24,SOLARNTR:IND,50.08
1/2/24,SOLARNTR:IND,52.07
12/29/23,SOLARNTR:IND,53.35
12/28/23,SOLARNTR:IND,54.22
12/27/23,SOLARNTR:IND,53.68
12/26/23,SOLARNTR:IND,53.66
