DATE,NG1_PRICE,NG1_PRICE_LAG,OIL_PRICE,COAL_PRICE,TAVG,ERCOT_LMP,ERCOT_DEMAND
1/4/24,2.559,,72.19,130.9,44,,48597.34173
1/3/24,2.448,2.559,72.7,128.5,39,,48591.0396
1/2/24,2.386,2.448,70.38,131.9,36,,50589.84506
12/29/23,2.327,2.386,71.65,146.4,41,,49115.0385
12/28/23,2.377,2.327,71.77,145.45,46,,48334.34214
12/27/23,2.286,2.377,74.11,146,46,,47104.66389
12/26/23,2.255,2.286,75.57,145.5,49,,47107.21938
12/22/23,2.316,2.255,73.56,145.5,58,,42634.64545
12/21/23,2.298,2.316,73.89,145.25,55,,43579.88265
12/20/23,2.208,2.298,74.22,144.25,49,,45030.01656
12/19/23,2.234,2.208,73.94,145.25,48,,47117.9038
12/18/23,2.309,2.234,72.82,144.75,53,,45609.73824
12/15/23,2.318,2.309,71.78,145.25,56,,44218.83919
12/14/23,2.26,2.318,71.91,145.5,53,,45258.61286
12/13/23,2.292,2.26,69.72,146.25,53,,45480.40708
12/12/23,2.24,2.292,68.85,146,51,,46067.89844
12/11/23,2.35,2.24,71.56,152.5,44,,48351.0264
12/8/23,2.504,2.35,71.44,151,65,,43685.61376
12/7/23,2.52,2.504,69.59,148.75,50,,44664.86691
12/6/23,2.517,2.52,69.65,140.45,53,,44171.80945
12/5/23,2.667,2.517,72.53,134.15,49,,44420.32099
12/4/23,2.651,2.667,73.32,135,55,,43640.5553
12/1/23,2.773,2.651,74.25,133.5,52,,42851.24668
11/30/23,2.763,2.773,76.05,132.15,55,,43531.67822
11/29/23,2.769,2.763,77.99,129,49,,45940.74552
11/28/23,2.798,2.769,76.59,127.45,41,,45824.28027
11/27/23,2.898,2.798,75.09,128,45,,48252.18257
11/24/23,2.949,2.898,75.77,122,50,,41516.43627
11/23/23,2.922,2.949,77.25,122.15,58,,43156.91113
11/22/23,2.983,2.922,77.92,122.15,54,,45115.44275
11/21/23,2.947,2.983,77.9,122.3,61,,43543.32118
11/20/23,3.008,2.947,76.11,122.5,61,,44032.85848
11/17/23,3.085,3.008,73.19,123.25,58,,42907.82777
11/16/23,3.189,3.085,76.8,123.1,60,,42486.50538
11/15/23,3.308,3.189,77.98,123.25,59,,41996.92159
11/14/23,3.261,3.308,77.99,122.5,55,,41961.5536
11/13/23,3.4,3.261,76.93,122,57,,41971.41092
11/10/23,3.284,3.4,75.57,123.25,56,,42518.79817
11/9/23,3.333,3.284,75.12,123,75,,45314.92124
11/8/23,3.389,3.333,76.98,122.5,74,,48030.07866
11/7/23,3.463,3.389,80.6,120.1,55,,47172.68271
11/6/23,3.564,3.463,80.23,119,70,,45470.98564
11/3/23,3.795,3.564,82.16,122.5,52,,43034.18633
11/2/23,3.75,3.795,80.1,118,60,,44786.5102
11/1/23,3.753,3.75,80.5,117.45,45,,45406.24498
10/31/23,3.813,3.753,81.68,123.5,40,,45525.86961
10/30/23,3.589,3.813,84.7,131,48,,46195.49259
10/27/23,3.718,3.589,82.54,135.2,75,,51976.83055
10/26/23,3.707,3.718,84.69,135.7,73,,50370.36266
10/25/23,3.62,3.707,82.97,133.5,67,,50187.61874
10/24/23,3.564,3.62,84.42,136.5,74,,49996.8518
10/23/23,3.512,3.564,86.82,138.35,68,,50528.7618
10/20/23,3.508,3.512,87.06,138,70,,47005.66049
10/19/23,3.576,3.508,86.09,136.5,68,,45719.62567
10/18/23,3.706,3.576,84.3,139.5,63,,43522.45716
10/17/23,3.707,3.706,84.02,142.25,55,,41870.4956
10/16/23,3.479,3.707,85.08,143.75,73,,41055.88168
10/13/23,3.584,3.479,80.73,143.85,75,,50013.11679
10/12/23,3.639,3.584,80.92,142.65,70,,47252.06284
10/11/23,3.658,3.639,82.57,141.5,75,,45583.28322
10/10/23,3.659,3.658,84.6,141.9,76,,46990.52701
10/9/23,3.631,3.659,81.28,141.35,65,,45417.39915
10/6/23,3.641,3.631,80.81,138.5,72,,48999.92203
10/5/23,3.511,3.641,82.55,140,82,,50919.64889
10/4/23,3.32,3.511,87.44,145,82,,58355.79303
10/3/23,3.313,3.32,87.17,150,79,,54812.65925
10/2/23,3.233,3.313,88.8,155,80,,55744.30858
9/29/23,3.312,3.233,89.59,160.1,85,,59550.06264
9/28/23,3.34,3.312,91.3,159.75,83,,59188.64973
9/27/23,3.29,3.34,88.78,160.35,83,,58353.62952
9/26/23,3.258,3.29,88.17,160.35,80,,57933.03319
9/25/23,3.341,3.258,88.35,160,89,,59671.73673
9/22/23,3.297,3.341,88.32,160,86,,61906.05644
9/21/23,3.267,3.297,88.34,160.5,85,,60338.32063
9/20/23,3.316,3.267,89.17,160.75,84,,58469.09538
9/19/23,3.384,3.316,89.26,160.75,79,,56890.28589
9/18/23,3.4,3.384,88.97,160.75,77,,55523.20172
9/15/23,2.932,3.4,88.81,160.5,74,,53703.09568
9/14/23,2.983,2.932,87.11,160.5,77,,53946.02853
9/13/23,2.987,2.983,87.36,162.25,80,,55454.08146
9/12/23,3.015,2.987,85.94,159,80,,56484.60897
9/11/23,2.937,3.015,86.81,158,82,,57386.83956
9/8/23,2.966,2.937,86.15,156.25,95,,68567.25864
9/7/23,2.958,2.966,86.79,157.65,93,,68467.0205
9/6/23,2.943,2.958,86.01,160,93,,67509.83906
9/5/23,2.991,2.943,85.9308,160.5,91,,67737.34653
9/4/23,2.6402,2.991,84.75,156.55,87,,63700.91234
9/1/23,3.111,2.6402,82.96,156.25,86,,61823.26731
8/31/23,3.147,3.111,81.12,156,86,,61435.6059
8/30/23,3.181,3.147,80.68,156,85,,61008.83669
8/29/23,3.062,3.181,79.67,158.5,84,,61799.86777
8/28/23,3.106,3.062,79.49,158.5,94,,63212.72314
8/25/23,3.135,3.106,78.66,149.4,94,,68799.76933
8/24/23,3.093,3.135,78.59,149,91,,68186.67923
8/23/23,3.044,3.093,79.35,150,93,,67423.54651
8/22/23,3.106,3.044,79.76,150,94,,67210.04183
8/21/23,3.193,3.106,80.2,149.25,96,,69854.56487
8/18/23,3.166,3.193,79.51,149.5,94,,69108.88905
8/17/23,3.243,3.166,78.73,147,84,,66285.24061
8/16/23,3.215,3.243,80.05,147.5,83,,63254.46935
8/15/23,2.781,3.215,81.37,147.15,86,,65330.0793
8/14/23,2.898,2.781,82.02,146.5,96,,69571.66317
8/11/23,2.882,2.898,81.8,144,94,,71136.79976
8/10/23,2.87,2.882,83.07,143,94,,70719.84759
8/9/23,3.053,2.87,82.36,142.5,94,,70060.13756
8/8/23,2.864,3.053,81.49,142.5,95,,69304.83569
8/7/23,2.813,2.864,82.27,141.1,96,,69829.72796
8/4/23,2.681,2.813,81.08,136,96,,69646.63284
8/3/23,2.67,2.681,79.13,136.85,96,,69195.94634
8/2/23,2.586,2.67,80.92,134,95,,68966.26058
8/1/23,2.672,2.586,81.32,135,93,,69051.81949
7/31/23,2.741,2.672,80.18,137.3,92,,67864.46258
7/28/23,2.753,2.741,79.63,134.45,91,,64637.84584
7/27/23,2.714,2.753,78.4,134,92,,65429.7643
7/26/23,2.809,2.714,79.2,134,93,,65808.5568
7/25/23,2.858,2.809,78.4,134,89,,65843.57202
7/24/23,2.792,2.858,76.78,133.1,86,,64191.23835
7/21/23,2.809,2.792,75.43,133,93,,65821.16217
7/20/23,2.823,2.809,75.11,132,95,,67332.66029
