DATE,NG1_PRICE,OIL_PRICE,COAL_PRICE,LMP_H,LMP_N,LMP_S,LMP_W,LNG_PRICE,NG_STORAGE,TAVG,AWND,PRCP,WT_FOG,WT_HFOG,WT_THNDR,WT_ICE,WT_HAIL,WT_GLAZE,WT_HAZE,LOAD_MW
4/8/24,1.8575,86.43,128.2,26.35,24.42,28.31,34.26,5.46,1014,67,9.4,0.01,1,0,0,0,0,0,1,43277.56926
4/5/24,1.785,86.91,129.1,9.06,8.29,9.52,3.58,5.46,1014,65,7.16,0,0,0,0,0,0,0,0,43223.97195
4/4/24,1.774,86.59,128.2,17.87,16.67,19.85,32.3,5.46,996,59,4.25,0,0,0,0,0,0,0,0,43286.15326
4/3/24,1.841,85.43,129.65,29.29,26.91,31.87,60.99,5.46,996,62,8.5,0,0,0,0,0,0,0,0,43259.42649
4/2/24,1.862,85.15,132.25,18.86,14.42,18.98,16.74,5.46,996,61.5,11.86,0,0,0,0,0,0,0,0,43167.79365
4/1/24,1.837,83.71,132,28.37,23.89,25.14,25.36,5.46,996,71.5,12.53,0,1,0,0,0,0,0,1,44184.3456
3/29/24,1.7518,83.12,129.1,8.67,7.95,5.08,1.8,5.69,996,60,9.84,0,0,0,0,0,0,0,0,42889.687
3/28/24,1.763,83.17,129.1,21.2,19.37,22.5,56.53,5.69,991,54,5.59,0,1,0,0,0,0,0,0,43206.89016
3/27/24,1.718,81.35,129,19.03,17.07,21.38,47.42,5.69,991,48,5.37,0,0,0,0,0,0,0,0,43002.286
3/26/24,1.788,81.62,128.9,26.06,24.65,26.31,63.95,5.69,991,56,8.05,0,0,0,0,0,0,0,0,42795.19342
3/25/24,1.789,81.95,128.95,16.24,13.96,18.46,24.73,5.69,991,58,9.84,0.12,1,0,0,0,0,0,0,43783.60374
3/22/24,1.812,80.63,127.7,23.37,20.27,27.5,62.58,5.69,991,59,10.07,0.04,1,0,1,0,0,0,0,43045.61231
3/21/24,1.831,81.07,128.25,35.37,32.2,41.48,76.26,5.69,993,62,12.3,1.63,1,0,1,0,0,0,0,42434.73097
3/20/24,1.845,81.27,128.9,22.98,20.16,24.14,49.46,5.69,993,54,4.92,0,0,0,0,0,0,0,0,42332.51124
3/19/24,1.876,82.73,129.4,19.09,16.63,20.96,39.44,5.69,993,49,5.59,0,0,0,0,0,0,0,0,43107.54372
3/18/24,1.833,82.16,129.75,25.18,22.6,19.56,72.68,5.69,993,55,12.97,0,0,0,0,0,0,0,0,42596.72435
3/15/24,1.789,80.58,131,18.73,13.12,16.88,23.53,5.69,993,68,8.05,0.07,1,0,1,0,0,0,0,45410.02841
3/14/24,1.862,80.74,131.5,32.85,25.58,25.12,55.05,5.69,972,70,13.2,0,1,0,0,0,0,0,1,46868.53814
3/13/24,1.784,79.3,131.1,19.71,13.31,16.2,21.17,5.69,972,68,9.62,0,1,0,0,0,0,0,0,45550.45223
3/12/24,1.823,77.25,130.65,14.6,11.62,14.11,17.49,5.69,972,54,7.61,0,1,0,0,0,0,0,0,42960.0905
3/11/24,1.862,77.53,133,16.41,12.6,17.2,26.14,5.69,972,52,5.37,0,0,0,0,0,0,0,0,42036.31556
3/8/24,1.923,77.5,134.4,18.54,12.92,20.66,21.58,5.69,972,61,7.83,0.06,1,0,0,0,0,0,1,45254.20567
3/7/24,1.952,78.32,135.5,20.33,14.57,18.1,44.78,5.69,949,66,10.51,0.02,1,0,0,0,0,0,1,44387.6962
3/6/24,2.072,78.41,136.75,30.1,22.94,25.28,54.6,5.69,949,65,5.14,0,1,1,0,0,0,0,1,44842.24124
3/5/24,2.095,77.41,137.45,47.43,41.59,48.27,65.83,5.69,949,71,7.16,0,1,0,0,0,0,0,0,46322.65039
3/4/24,2.073,78.17,136,30.84,29.24,32.47,41.54,5.69,949,71,7.16,0,1,1,0,0,0,0,0,45996.72422
3/1/24,1.975,79.09,132,16.98,15.84,18.2,23.73,5.69,949,46,5.37,0,0,0,0,0,0,0,0,44894.26615
2/29/24,2.008,77.45,131,20.27,19.54,20.36,37.13,6.56,935,42,10.51,0,0,0,0,0,0,0,0,47375.29551
2/28/24,2.052,77.83,131,16.62,15.12,11.86,25.07,6.56,935,58,15.21,0.01,1,0,0,0,0,0,1,44904.54954
2/27/24,1.965,78.23,129.2,16.75,13.41,13.82,16.37,6.56,935,70,11.41,0,0,0,0,0,0,0,0,46516.1972
2/26/24,1.891,77.09,127.5,16,14.33,11.17,21.95,6.56,935,66,10.51,0,0,0,0,0,0,0,0,45557.93997
2/23/24,1.847,76.08,119.4,18.29,18.19,16.98,28.48,6.56,935,65,10.07,0,0,0,0,0,0,0,0,41903.97764
2/22/24,1.972,77.93,119.4,13.4,12.03,12.41,13.03,6.56,944,69,7.16,0,0,0,0,0,0,0,0,43592.28482
2/21/24,1.994,77.31,115,10.22,8.36,4.08,7.68,6.56,944,63,9.84,0,1,0,0,0,0,0,0,42948.0637
2/20/24,1.761,76.62,119.6,12.53,11.96,11.35,14.07,6.56,944,56,4.92,0,1,0,0,0,0,0,0,44267.54143
2/19/24,1.5555,77.98,119.6,14.76,14.43,15.96,19.29,6.56,944,41,3.8,0,0,0,0,0,0,0,0,47314.97403
2/16/24,1.81,77.22,119.25,10.64,9.78,12.11,10.79,6.56,944,62,6.71,0.06,1,0,0,0,0,0,0,42402.7708
2/15/24,1.767,76.11,119.25,14.83,14.54,15.4,21.29,6.56,936,58,5.59,0,0,0,0,0,0,0,0,42408.28124
2/14/24,1.776,77.24,119.75,9.77,9.54,9.58,11.08,6.56,936,50,6.49,0,1,0,0,0,0,0,0,44552.86122
2/13/24,1.866,76.65,120.5,14.97,14.81,15.06,19.52,6.56,936,43,2.46,0,0,0,0,0,0,0,0,46426.53922
2/12/24,1.8,76.61,120,20.18,20.73,16.89,34.21,6.56,936,42,12.75,0,0,0,0,0,0,0,0,46900.79784
2/9/24,1.885,76.04,120.6,18.43,17.92,17.28,29.85,6.56,936,59,6.71,0,1,0,0,0,0,0,0,43143.6784
2/8/24,1.948,73.89,120,14.31,13.86,14.26,18.72,6.56,916,53,7.16,0.01,0,0,0,0,0,0,0,42608.11066
2/7/24,1.98,73.37,120.5,12.8,11.65,9.03,9.28,6.56,916,53,10.51,0,0,0,0,0,0,0,0,43447.41226
2/6/24,2.007,72.85,119,19.32,18.89,20.57,23.65,6.56,916,49,3.58,0,0,0,0,0,0,0,1,44099.43602
2/5/24,2.074,72.3,119,19.99,19.79,14.64,26.79,6.56,916,58,12.75,0,0,0,0,0,0,0,0,43649.78081
2/2/24,2.086,73.79,116,15.99,15.59,12.37,18.92,6.56,916,66,10.29,0.06,1,0,1,0,0,0,0,41981.1613
2/1/24,2.064,75.71,116,14.92,14.33,13.66,16.12,6.56,919,62,4.7,0,1,0,0,0,0,0,1,42384.30507
1/31/24,2.121,77.65,116.5,18.79,18.46,19,28.07,6.89,919,59,3.58,0,0,0,0,0,0,0,0,43305.60479
1/30/24,2.104,76.67,118,20.2,20.12,20.73,33.13,6.89,919,58,5.14,0,0,0,0,0,0,0,0,43836.41965
1/29/24,2.089,77.86,116,21.96,22.1,21.91,28.16,6.89,919,53,2.91,0,0,0,0,0,0,0,0,45775.1668
1/26/24,2.2,77.19,127.1,21.16,21,21.52,25.13,6.89,919,49,6.93,0.49,1,1,1,0,0,0,0,45365.72118
1/25/24,2.201,74.98,126.8,25.66,25.55,24.86,35.81,6.89,990,31,6.93,0.74,1,1,1,0,0,0,0,44815.3282
1/24/24,2.277,74.27,127.2,30.56,30.18,30.29,55.02,6.89,990,45,8.05,1.96,1,0,1,0,0,0,0,46185.75854
1/23/24,2.2,74.65,127.3,27.19,28.5,22.29,51.48,6.89,990,30,8.72,1.29,1,1,1,0,0,0,0,47915.41709
1/22/24,2.144,73.12,127.45,26.74,27.07,24.32,36.23,6.89,990,30,9.4,1.39,1,0,0,0,0,0,1,54062.87425
1/19/24,2.267,73.83,128,24.53,25.81,22.05,30.72,6.89,990,42,12.75,0,1,0,0,0,0,0,0,55254.09447
1/18/24,2.407,72.46,128.9,21.52,21.5,26.52,27.61,6.89,1128,32,4.7,0.03,1,1,0,0,0,0,1,51251.67769
1/17/24,2.475,72.58,129.5,63.65,56.56,85.24,47.33,6.89,1128,19,6.71,0,0,0,0,0,0,0,1,65800.58116
1/16/24,2.453,72.88,129,375.8,408.14,356.29,422.14,6.89,1128,18,13.87,0,0,0,0,0,0,0,0,71634.59591
